"term_id","technical_key","japanese_name","display_name","category","definition","formula","numerator","denominator","grain","unit","timezone","source_of_truth","update_frequency","owner","consumers","access_level","status","aliases","exclusions","edge_cases","decision_required","effective_from","version"
"organization.company","company","会社","会社","organization","日常語として用いられる事業体。法人との同義扱い可否は未承認。","","","","organization","record","Asia/Tokyo","Core Read Adapter / public.corporations, public.stores","随時（effective-dated）","Core Master owner","店舗営業管理|法人経営管理|NOV Talent|現職者管理","認可されたcorporation/store scope","Needs Business Decision","企業","","","会社と法人を同義にするか決定","","1.0-draft"
"organization.corporation","corporation","法人","法人","organization","Core corporation IDで一意に識別する法人格または経営集計主体。","","","","corporation","record","Asia/Tokyo","Core Read Adapter / public.corporations","随時（effective-dated）","Core Master owner","店舗営業管理|法人経営管理|NOV Talent|現職者管理","認可されたcorporation/store scope","Confirmed","","","","","","1.0-draft"
"organization.store","store","店舗","店舗","organization","Core store IDで一意に識別する営業・管理拠点。名称は識別子にしない。","","","","store","record","Asia/Tokyo","Core Read Adapter / public.stores","随時（effective-dated）","Core Master owner","店舗営業管理|法人経営管理|NOV Talent|現職者管理","認可されたcorporation/store scope","Confirmed","","","","","","1.0-draft"
"organization.operating_store","operating_store","営業店舗","営業店舗","organization","対象営業日に営業対象として有効な店舗。","","","","store|effective_date","record","Asia/Tokyo","Core Read Adapter / public.corporations, public.stores","随時（effective-dated）","Core Master owner","店舗営業管理|法人経営管理|NOV Talent|現職者管理","認可されたcorporation/store scope","Needs Business Decision","","閉店後期間","","休業・開店準備中を含めるか","","1.0-draft"
"organization.closed_store","closed_store","閉店店舗","閉店店舗","organization","閉店effective date以降は新規営業実績を受け付けないが、過去実績参照を維持する店舗。","","","","store|effective_date","record","Asia/Tokyo","Core Read Adapter / public.corporations, public.stores","随時（effective-dated）","Core Master owner","店舗営業管理|法人経営管理|NOV Talent|現職者管理","認可されたcorporation/store scope","Needs Business Decision","","","","閉店日当日の扱い","","1.0-draft"
"organization.directly_managed_store","directly_managed_store","直営店舗","直営店舗","organization","承認済みownership ruleで直営と判定された店舗。","","","","organization","record","Asia/Tokyo","Core Read Adapter / public.corporations, public.stores","随時（effective-dated）","Core Master owner","店舗営業管理|法人経営管理|NOV Talent|現職者管理","認可されたcorporation/store scope","Needs Business Decision","直営店","","","判定属性と集計法人を承認","","1.0-draft"
"organization.franchise_store","franchise_store","FC店舗","FC店舗","organization","承認済みfranchise ruleでFCと判定された店舗。","","","","organization","record","Asia/Tokyo","Core Read Adapter / public.corporations, public.stores","随時（effective-dated）","Core Master owner","店舗営業管理|法人経営管理|NOV Talent|現職者管理","認可されたcorporation/store scope","Needs Business Decision","FC店","","","所有法人・運営法人・集計法人の関係を承認","","1.0-draft"
"organization.department","department","部署","部署","organization","Core department IDで識別する組織部門。","","","","department","record","Asia/Tokyo","Core Read Adapter / public.departments","随時（effective-dated）","Core Master owner","店舗営業管理|法人経営管理|NOV Talent|現職者管理","認可されたcorporation/store scope","Proposed","","","","","","1.0-draft"
"organization.area","area","エリア","エリア","organization","複数店舗を営業管理上まとめるeffective-dated管理単位。","","","","area|effective_period","record","Asia/Tokyo","Core Read Adapter / public.corporations, public.stores","随時（effective-dated）","Core Master owner","店舗営業管理|法人経営管理|NOV Talent|現職者管理","認可されたcorporation/store scope","Needs Business Decision","","","","area masterと店舗所属期間を承認","","1.0-draft"
"organization.affiliation","affiliation","所属","所属","organization","employeeと法人・部署・店舗等の有効期間付き関係。","","","","employee|organization|effective_period","record","Asia/Tokyo","Core Read Adapter / assignment history","随時（effective-dated）","Core Master owner","店舗営業管理|法人経営管理|NOV Talent|現職者管理","認可されたcorporation/store scope","Needs Business Decision","","","","業務ownerの定義承認が必要","","1.0-draft"
